be ser/estar,
catch atrapar,
choose elegir,
come venir,
do hacer,
draw dibujar,
drink beber,
drive conducir,
eat comer,
find encontrar,
fly volar,
get consegir,
give dar,
go ir,
have haber/tener,
have got tener,
hit golpear,
hold sostener,
know saber,
make hacer/crear,
put poner,
read leer,
ride montar,
run correr,
say decir,
see ver,
sing cantar,
sit sentar,
sleep dormir,
stand estar/mantener,
swim nadar,
take_a_photo tomar_una_foto,
tell decirle,
throw lanzar,
understand entender,
wear usar/vestir,
write escribir
