add agregar,
answer responder,
ask preguntar,
bounce rebotar,
clap aplaudir,
clean limpiar,
close cerrar,
color colorear,
complete completar,
count contar,
cross cruzar/atravesar,
enjoy disfrutar,
jump saltar,
kick patear,
learn aprender,
like gustar,
listen escuchar,
live vivir,
look mirar,
love amar,
open abrir,
paint pintar,
phone llamar_por_telefono,
pick up recoger/levantar,
play jugar,
point apuntar,
show mostrar,
smile sonreir,
spell deletrear,
start empezar,
stop parar,
talk hablar,
tick marcar/palomear,
try intentar,
walk caminar,
want querer,
watch observar,
wave ondear
